Order_ID,Order_Date,Month,Region,Salesperson,Product_Category,Product,Units,Revenue,Cost,Profit
SO-10061,2026-04-15,2026-04,West,Cameron,Electronics,Display Hub,24,5592.00,3468.28,2123.72
SO-10062,2026-04-15,2026-04,West,Parker,Office,Standing Desk,19,7505.00,4593.24,2911.76
SO-10063,2026-04-15,2026-04,West,Parker,Accessories,Headset,29,3016.00,2129.75,886.25
SO-10064,2026-04-15,2026-04,West,Parker,Storage,NAS Drive,17,5406.00,3633.23,1772.77
SO-10065,2026-05-15,2026-05,North,Morgan,Electronics,Display Hub,16,4080.00,2859.36,1220.64
SO-10066,2026-05-15,2026-05,North,Avery,Office,Ergo Chair,36,13716.00,8779.69,4936.31
SO-10067,2026-05-15,2026-05,North,Morgan,Accessories,Headset,12,1452.00,1068.78,383.22
SO-10068,2026-05-15,2026-05,North,Avery,Storage,Portable SSD,42,12390.00,7677.87,4712.13
SO-10069,2026-05-15,2026-05,South,Jordan,Electronics,Display Hub,16,4368.00,3102.33,1265.67
SO-10070,2026-05-15,2026-05,South,Taylor,Office,Ergo Chair,35,13055.00,7886.83,5168.17
SO-10071,2026-05-15,2026-05,South,Taylor,Accessories,Headset,18,1890.00,1099.96,790.04
SO-10072,2026-05-15,2026-05,South,Jordan,Storage,NAS Drive,33,11319.00,8099.98,3219.02
SO-10073,2026-05-15,2026-05,East,Casey,Electronics,USB-C Dock,38,8778.00,5841.70,2936.30
SO-10074,2026-05-15,2026-05,East,Riley,Office,Standing Desk,41,15170.00,9798.28,5371.72
SO-10075,2026-05-15,2026-05,East,Casey,Accessories,Webcam,24,3120.00,2158.55,961.45
SO-10076,2026-05-15,2026-05,East,Casey,Storage,Portable SSD,20,6020.00,4292.71,1727.29
SO-10077,2026-05-15,2026-05,West,Parker,Electronics,Display Hub,19,4541.00,3395.44,1145.56
SO-10078,2026-05-15,2026-05,West,Parker,Office,Standing Desk,8,3032.00,1942.40,1089.60
SO-10079,2026-05-15,2026-05,West,Parker,Accessories,Headset,29,3074.00,2181.44,892.56
SO-10080,2026-05-15,2026-05,West,Parker,Storage,Portable SSD,10,2940.00,2195.42,744.58
SO-10081,2026-06-15,2026-06,North,Morgan,Electronics,USB-C Dock,30,6930.00,4820.19,2109.81
SO-10082,2026-06-15,2026-06,North,Morgan,Office,Standing Desk,27,11421.00,7598.87,3822.13
SO-10083,2026-06-15,2026-06,North,Morgan,Accessories,Webcam,36,4356.00,2532.89,1823.11
SO-10084,2026-06-15,2026-06,North,Avery,Storage,NAS Drive,21,6342.00,4132.37,2209.63
SO-10085,2026-06-15,2026-06,South,Taylor,Electronics,Display Hub,35,9800.00,5982.54,3817.46
SO-10086,2026-06-15,2026-06,South,Taylor,Office,Ergo Chair,13,5278.00,3275.30,2002.70
SO-10087,2026-06-15,2026-06,South,Jordan,Accessories,Headset,14,1596.00,1063.12,532.88
SO-10088,2026-06-15,2026-06,South,Taylor,Storage,NAS Drive,39,12207.00,8661.00,3546.00
SO-10089,2026-06-15,2026-06,East,Riley,Electronics,USB-C Dock,32,8480.00,4982.52,3497.48
SO-10090,2026-06-15,2026-06,East,Riley,Office,Ergo Chair,34,14212.00,10599.24,3612.76
SO-10091,2026-06-15,2026-06,East,Casey,Accessories,Webcam,24,3216.00,1911.99,1304.01
SO-10092,2026-06-15,2026-06,East,Casey,Storage,Portable SSD,12,3564.00,2578.11,985.89
SO-10093,2026-06-15,2026-06,West,Parker,Electronics,Display Hub,29,7569.00,5047.48,2521.52
SO-10094,2026-06-15,2026-06,West,Parker,Office,Ergo Chair,13,5434.00,3692.97,1741.03
SO-10095,2026-06-15,2026-06,West,Cameron,Accessories,Webcam,39,5109.00,3086.41,2022.59
SO-10096,2026-06-15,2026-06,West,Parker,Storage,NAS Drive,26,7644.00,4703.95,2940.05
