Month,Region,Product_Category,Units,Revenue,Profit
2026-03,North,Accessories,27,3996.00,1503.25
2026-03,North,Storage,12,3888.00,1316.93
2026-03,North,Storage,28,9884.00,3183.93
2026-03,South,Electronics,22,5258.00,1228.41
2026-03,South,Electronics,19,4522.00,1494.96
2026-03,South,Office,21,8841.00,1838.45
2026-03,South,Office,10,4330.00,1187.96
2026-03,South,Accessories,23,2461.00,612.19
2026-03,South,Accessories,5,575.00,164.35
2026-03,South,Storage,21,6867.00,2468.06
2026-03,South,Storage,13,4095.00,825.19
2026-03,East,Electronics,7,1652.00,487.35
2026-03,East,Electronics,23,6256.00,2195.19
2026-03,East,Office,8,3296.00,842.31
2026-03,East,Office,25,10650.00,3013.62
2026-03,East,Accessories,14,1834.00,600.82
2026-03,East,Accessories,26,2496.00,922.63
2026-03,East,Storage,10,3220.00,967.41
2026-03,East,Storage,28,9156.00,2375.38
2026-03,West,Electronics,19,5111.00,1321.23
2026-03,West,Electronics,20,5360.00,1611.67
2026-03,West,Office,26,10062.00,2738.30
2026-03,West,Office,8,3304.00,1069.76
2026-03,West,Accessories,10,1270.00,467.09
2026-03,West,Accessories,24,2640.00,844.09
2026-03,West,Storage,12,3804.00,775.53
2026-03,West,Storage,10,3120.00,1095.05
2026-04,North,Electronics,18,4302.00,1112.59
2026-04,North,Electronics,9,2511.00,728.61
2026-04,North,Office,24,9816.00,2241.88
2026-04,North,Office,18,7452.00,1610.86
2026-04,North,Accessories,23,2599.00,766.64
2026-04,North,Accessories,26,3874.00,1051.25
2026-04,North,Storage,7,2422.00,629.09
2026-04,North,Storage,20,6300.00,2209.04
2026-04,South,Electronics,21,6048.00,1790.63
2026-04,South,Electronics,20,5400.00,1918.03
2026-04,South,Office,5,2075.00,502.90
2026-04,South,Office,9,3627.00,1333.80
2026-04,South,Accessories,28,3108.00,924.63
2026-04,South,Accessories,12,1200.00,371.43
2026-04,South,Storage,20,6680.00,2364.45
2026-04,South,Storage,25,7725.00,2344.45
2026-04,East,Electronics,23,6624.00,1974.57
2026-04,East,Electronics,18,4914.00,1280.25
2026-04,East,Office,12,4980.00,1110.45
2026-04,East,Office,21,8232.00,2155.34
2026-04,East,Accessories,16,2288.00,832.84
2026-04,East,Accessories,7,889.00,269.15
2026-04,East,Storage,10,3350.00,942.01
2026-04,East,Storage,13,4030.00,1342.21
2026-04,West,Electronics,9,2511.00,582.72
2026-04,West,Electronics,22,5456.00,1396.76
2026-04,West,Office,14,5754.00,1959.97
2026-04,West,Office,7,2751.00,841.18
2026-04,West,Accessories,9,1350.00,390.32
2026-04,West,Accessories,20,2200.00,779.12
2026-04,West,Storage,9,3177.00,1033.67
2026-04,West,Storage,13,4433.00,1228.72
2026-05,North,Electronics,25,6825.00,2321.25
2026-05,North,Electronics,23,5796.00,2065.52
2026-05,North,Office,27,10800.00,2236.68
2026-05,North,Office,24,9528.00,2762.04
2026-05,North,Accessories,23,2760.00,612.92
2026-05,North,Accessories,17,1734.00,642.48
2026-05,North,Storage,17,5474.00,1671.80
2026-05,North,Storage,6,1878.00,661.01
2026-05,South,Electronics,12,3072.00,842.22
2026-05,South,Electronics,25,6275.00,1358.16
2026-05,South,Office,17,7480.00,2486.98
2026-05,South,Office,21,8190.00,2039.59
2026-05,South,Accessories,27,3645.00,1002.39
2026-05,South,Accessories,24,3168.00,1140.39
2026-05,South,Storage,11,3476.00,1320.29
2026-05,South,Storage,10,3070.00,891.72
2026-05,East,Electronics,21,6027.00,1434.17
2026-05,East,Electronics,7,1715.00,474.11
2026-05,East,Office,10,4210.00,1533.07
2026-05,East,Office,17,7089.00,1706.71
2026-05,East,Accessories,19,1843.00,583.95
2026-05,East,Accessories,11,1650.00,531.59
2026-05,East,Storage,13,3900.00,1105.93
2026-05,East,Storage,22,7150.00,1538.87
2026-05,West,Electronics,21,5754.00,1510.93
2026-05,West,Electronics,5,1375.00,311.60
2026-05,West,Office,6,2466.00,505.89
2026-05,West,Office,28,11564.00,3077.45
2026-05,West,Accessories,14,1582.00,452.69
2026-05,West,Accessories,26,3406.00,879.42
2026-05,West,Storage,21,7119.00,1738.21
2026-05,West,Storage,27,9450.00,2947.42
2026-06,North,Electronics,24,5760.00,1458.99
2026-06,North,Electronics,28,7812.00,2865.51
2026-06,North,Office,14,5852.00,2146.78
2026-06,North,Office,5,2175.00,767.05
2026-06,North,Accessories,28,3220.00,870.24
2026-06,North,Accessories,16,1888.00,639.13
2026-06,North,Storage,28,9604.00,3447.72
2026-06,North,Storage,28,9352.00,2798.74
2026-06,South,Electronics,8,2240.00,654.97
2026-06,South,Electronics,12,2988.00,739.28
2026-06,South,Office,6,2394.00,666.29
2026-06,South,Office,7,2856.00,687.73
2026-06,South,Accessories,5,640.00,178.73
2026-06,South,Accessories,14,1918.00,406.07
2026-06,South,Storage,6,1866.00,582.57
2026-06,South,Storage,24,7392.00,2055.41
2026-06,East,Electronics,26,6526.00,2213.30
2026-06,East,Electronics,12,3060.00,899.76
2026-06,East,Office,22,8998.00,3173.38
2026-06,East,Office,22,8470.00,1778.94
2026-06,East,Accessories,11,1320.00,483.85
2026-06,East,Accessories,26,2626.00,637.60
2026-06,East,Storage,20,6600.00,2239.08
2026-06,East,Storage,23,7613.00,2470.44
2026-06,West,Electronics,11,2596.00,654.02
2026-06,West,Electronics,14,3570.00,1039.69
2026-06,West,Office,22,9262.00,2165.01
2026-06,West,Office,18,7002.00,2119.38
2026-06,West,Accessories,6,780.00,212.10
2026-06,West,Accessories,22,2728.00,603.86
2026-06,West,Storage,20,6900.00,2199.41
2026-06,West,Storage,10,3250.00,839.88
